"Contents","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21"
"Table 5a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Median house price (existing dwellings) by local authority district, England and Wales, year ending September 2002 to year ending September 2018 (£)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Region code","Region name","Local authority code","Local authority name","Year ending Sep 2002","Year ending Sep 2003","Year ending Sep 2004","Year ending Sep 2005","Year ending Sep 2006","Year ending Sep 2007","Year ending Sep 2008","Year ending Sep 2009","Year ending Sep 2010","Year ending Sep 2011","Year ending Sep 2012","Year ending Sep 2013","Year ending Sep 2014","Year ending Sep 2015","Year ending Sep 2016","Year ending Sep 2017","Year ending Sep 2018"
"E12000005","West Midlands","E07000199","Tamworth","79950","95000","119000","125250","133000","139000","136000","129000","136000","133000","129000","134950","142000","146950","160000","170000","182000"
"E12000005","West Midlands","E07000218","North Warwickshire","86250","104950","125000","135000","145000","148725","150000","145000","150000","142000","149000","145000","154000","160000","172500","180000","187000"
"E12000005","West Midlands","E07000219","Nuneaton and Bedworth","69000","83999.5","104166","117500","123000","127000","127750","118000","125500","123000","124995","125000","132000","136250","146000","154995","165000"
"E12000005","West Midlands","E07000220","Rugby","92250","110000","131000","143750","149000","155000","159972.5","142500","152500","151000","153000","157000","172000","178000","187500","202500","220000"
"E12000005","West Midlands","E07000221","Stratford-on-Avon","145000","175000","195250","210000","220500","230000","230000","225000","230000","230000","235000","240000","249999.5","260000","280000","289995","300000"
"E12000005","West Midlands","E07000222","Warwick","127500","150000","171000","185000","186025","199950","200000","186000","205000","205000","205000","214950","230150","245000","269000","275133.5","292500"
"E12000005","West Midlands","E08000025","Birmingham","75000","93000","115000","124000","127000","135000","133000","124500","130000","125000","125000","125000","134000","139000","148250","158000","167500"
"E12000005","West Midlands","E08000026","Coventry","69000","84000","102250","115000","120000","127500","125000","115000","120000","120000","120000","124000","130000","135500","148500","160000","170750"
"E12000005","West Midlands","E08000027","Dudley","77000","90950","112000","120000","127975","133000","135000","126000","135000","129975","129000","130000","135000","142000","149950","155000","161500"
"E12000005","West Midlands","E08000028","Sandwell","59950","76000","92500","104500","112000","120000","118000","109251","110000","109950","105000","107500","112000","117500","123000","130000","140000"
"E12000005","West Midlands","E08000029","Solihull","129950","157000","177500","189475","195000","200000","200000","185000","215000","205750","200000","207000","215000","232500","240000","260000","272500"
"E12000005","West Midlands","E08000030","Walsall","68000","82000","100334","115000","120000","124950","125000","120000","124000","120000","120000","121000","130000","130000","136995","145000","152000"
"E12000005","West Midlands","E08000031","Wolverhampton","63995","78000","94500","105000","115000","120000","122500","115000","115000","114950","112000","113750","120000","123500","128500","133000","140500"
"E12000005","West Midlands","E07000234","Bromsgrove","129950","151500","180000","189950","195000","201000","210000","185000","196250","200000","200000","200000","215000","230000","243000","260000","269250"
"E12000005","West Midlands","E07000235","Malvern Hills","135000","165000","180000","197000","204000","226250","221000","200000","207500","210500","207300","203000","215000","220000","235000","250000","264000"
"E12000005","West Midlands","E07000236","Redditch","89000","109000","126000","132000","139000","147000","146000","142500","145750","145000","142250","149000","156250","165000","175000","185000","190000"
"E12000005","West Midlands","E07000237","Worcester","95000","118000","136775","144000","153000","163000","165000","152000","156000","154950","159000","159140","163000","170000","180000","185000","192000"
"E12000005","West Midlands","E07000238","Wychavon","120000","154950","170000","187000","189950","205000","212000","182000","195000","199000","196000","193000","208000","218500","235000","245061.5","252000"
"E12000005","West Midlands","E07000239","Wyre Forest","87000","110000","132000","140000","143000","155000","152375","145000","150000","146250","144500","145000","149950","153000","160000","167000","180000"
"E12000006","East","E06000055","Bedford","102000","126000","140000","152500","161000","173500","174997.5","165000","171000","175000","176235","178000","189995","212000","227000","250000","265000"
"E12000006","East","E06000056","Central Bedfordshire","118000","140000","157000","167500","175000","186000","195000","175000","185000","188500","190000","191500","209972.5","230000","255150","280000","290000"
"E12000006","East","E06000032","Luton","88625","117000","130000","137240","145000","156000","160000","143000","150000","150000","150000","152750","164000","182000","218000","241000","251000"
"E12000006","East","E06000031","Peterborough","72000","88000","109995","119950","125000","135797.5","135000","125000","127250","125000","125000","125000","135100","145000","155000","165000","175000"
"E12000006","East","E06000033","Southend-on-Sea","96500","125000","146000","157000","163000","175000","180000","168000","176997.5","180000","180000","185000","197000","217500","239725","260000","280000"
"E12000006","East","E06000034","Thurrock","98000","127000","144995","156000","159000","169500","176000","160750","165000","170000","168000","173250","184997.5","210000","243000","265000","276375"
"E12000006","East","E07000008","Cambridge","160000","180500","190000","206500","220000","249950","249950","230000","250000","258000","270000","290000","315000","370000","400000","420000","415000"
